도서관 목록,,,,,,,,,
번호,구분,지역,시군구,도서관명,도서관부호,도서관코드
86,공공(일반),서울,서초구,2019,,,서초양재도서관,111493,20601110033
87,공공(일반),서울,서초구,2018,,,서초내곡도서관,111476,20601110020
88,공공(일반),서울,동작구,2018,,,약수도서관,111107,20601110018
89,공공(일반),서울,영등포구,2009,,,선유정보문화도서관,111121,2060111051
90,공공(일반),서울,영등포구,1974,,,영등포평생학습관,111018,2050111020
91,공공(일반),서울,영등포구,2008,,,문래정보문화도서관,111111,2060111037
92,공공(일반),서울,영등포구,2007,,,대림정보문화도서관,111083,2060111033
93,공공(일반),서울,강서구,2012,,,강서 등빛도서관,111309,2060111077
94,공공(일반),서울,강서구,1983,,,강서도서관,111005,2050111003
95,공공(일반),서울,강서구,2009,,강서우장산숲속도서관,우장산숲속도서관,111118,2060111058
96,공공(일반),서울,양천구,2018,,,방아다리문학도서관,711359,20601110025
97,공공(일반),서울,양천구,2018,,,미감도서관,111480,20601110024
98,공공(일반),서울,양천구,1990,,,양천도서관,111015,2050111013
99,공공(일반),서울,양천구,2018,,,해맞이역사도서관,111481,20601110023
100,공공(일반),서울,구로구,2019,,,구로기적의도서관,111489,20601110031
101,공공(일반),서울,구로구,1990,,,고척도서관,111008,2050111005
102,공공(일반),서울,구로구,2009,,,구로 온누리도서관,111128,2060111057
103,공공(일반),서울,구로구,1984,,,구로도서관,111009,2050111006
104,공공(일반),서울,구로구,2010,,,하늘도서관,111215,2060111065
106,공공(일반),서울,금천구,1999,,,금천독산도서관,111040,2060111003
107,공공(일반),서울,관악구,2006,,,성현동작은도서관,111063,2060111029
108,공공(일반),서울,관악구,2006,,,글빛정보도서관,111062,2060111028
109,공공(일반),서울,관악구,2009,,,은천동작은도서관,111160,2060111060
110,공공(일반),서울,관악구,2011,,,조원도서관,111192,2060111072
111,공공(일반),서울,중구,1964,,,한국학생도서관,111029,2030111003
112,공공(일반),서울,중구,2008,,,가온도서관,111108,2060111042
113,공공(일반),서울,종로구,2014,,,청운문학도서관,111447,2060111094
114,공공(일반),서울,종로구,2000,,,4.19 혁명기념 도서관,111001,2030111001
115,공공(일반),서울,종로구,2014,,아름꿈 도서관,아름꿈 작은도서관,111441,2060111089
116,공공(일반),서울,은평구,2001,,,은평도서관,111042,2060111007
117,공공(일반),서울,성동구,2006,,,성동금호도서관,111068,2060111024
118,공공(일반),서울,성동구,2012,,,성동성수도서관,111344,2060111080
119,공공(일반),서울,성동구,1999,,,성동도서관,111035,2060111002
120,공공(일반),서울,강동구,1996,,,명성교회도서관,111483,2030111004
121,공공(일반),서울,강동구,2009,,,강동강일도서관,111125,2060111063
122,공공(일반),서울,강동구,1984,,,고덕평생학습관,111007,2050111017
123,공공(일반),서울,강동구,2007,,,강동성내도서관,111078,2060111031
124,공공(일반),서울,강남구,2003,,논현정보도서관,강남논현정보도서관,111071,2060111020
125,공공(일반),서울,강남구,2009,,,강남 역삼 푸른솔 도서관,111127,2060111054
126,공공(일반),서울,강남구,2007,,,강남역삼도서관,111103,2060111036
127,공공(일반),서울,강남구,2004,,,정다운도서관,128014,2060111021
128,공공(일반),서울,성북구,2002,,,성북정보도서관,111044,2060111009
129,공공(일반),서울,성북구,2012,,,달빛마루도서관,111302,2060111075
130,공공(일반),서울,성북구,2014,,성북 청수도서관,청수도서관,111437,2060111091
131,공공(일반),서울,송파구,2009,,,소나무언덕2호작은도서관,111114,2060111053
132,공공(일반),서울,송파구,2015,,,지샘터 올림픽공원도서관,111459,2030111009
133,공공(일반),서울,송파구,2005,,거마도서관,송파거마도서관,111049,2060111018
134,공공(일반),서울,송파구,2009,,,소나무언덕3호 작은도서관,111173,2060111064
135,공공(일반),서울,노원구,2006,,,노원정보도서관,111058,2060111026
136,공공(일반),서울,노원구,2012,,,상계문화정보도서관,111307,2060111074
137,공공(일반),서울,용산구,2009,,,청파도서관,111120,2060111056
138,공공(일반),서울,강북구,2010,,,수유문화정보도서관,111182,2060111069
139,공공(일반),서울,강북구,2005,,,솔샘문화정보도서관,111052,2060111016
140,공공(일반),서울,강북구,2001,,,강북청소년문화정보도서관,111038,2060111006
141,공공(일반),서울,광진구,2015,,구의제3동도서관,구의3동도서관,111305,20601110003
142,공공(일반),서울,영등포구,2015,,,여의샛강마을도서관,111444,2060111095
143,공공(일반),서울,관악구,2002,,,관악중앙도서관,111045,2060111010
144,공공(일반),서울,구로구,2004,,,구로꿈나무도서관,111099,2060111012
145,공공(일반),서울,구로구,2010,,,구로개봉도서관,111216,2060111067
146,공공(일반),서울,구로구,2007,,,꿈마을 도서관,111100,2060111035
147,공공(일반),서울,구로구,1978,2019,없음,오류도서관,111023,2030111002
148,공공(일반),서울,금천구,2008,,,금천금나래도서관,111113,2060111049
149,공공(일반),서울,금천구,2007,,,금천가산도서관,111077,2060111030
150,공공(일반),서울,금천구,2013,,,금천시흥도서관,111434,2060111084
151,공공(일반),서울,동작구,1991,,,동작도서관,111013,2050111010
152,공공(일반),서울,동작구,2013,,,사당솔밭도서관,111439,2060111083
153,공공(일반),서울,동작구,2009,,,동작상도국주도서관,111130,2060111061
154,공공(일반),서울,강서구,2015,,,강서가양도서관,111453,2060111000
155,공공(일반),서울,강서구,2012,,,강서영어도서관,111373,2060111079
156,공공(일반),서울,강서구,2013,,강서 곰달래도서관,곰달래도서관,111378,2060111082
157,공공(일반),서울,강서구,2008,,,강서푸른들청소년도서관,111097,2060111044
158,공공(일반),서울,양천구,2014,,,갈산도서관,128040,2060111092
159,공공(일반),서울,양천구,2009,,,목마교육도서관,111242,2060111052
160,공공(일반),서울,양천구,2006,,,신월음악도서관,111081,2060111027
161,공공(일반),서울,양천구,2009,,,개울건강도서관,111240,2060111059
162,공공(일반),서울,양천구,2016,,,양천구 영어특성화도서관,111461,20601110008
163,공공(일반),부산,기장군,2016,,,대라다목적도서관,126151,2060121018
164,공공(일반),부산,금정구,1996,,,금정도서관,121018,2060121008
165,공공(일반),부산,금정구,1983,,,부산 서동도서관,121007,2050121008
166,공공(일반),부산,북구,2016,,,금곡도서관,126152,2060121019
167,공공(일반),부산,북구,2002,,,부산 북구디지털도서관,121023,2060121004
168,공공(일반),부산,강서구,1998,,,부산 강서도서관,121020,2060121001
169,공공(일반),부산,부산진구,1901,,,부산 시민도서관,121008,2050121001
170,공공(일반),부산,부산진구,1982,,,부산 부전도서관,121005,2050121004
171,공공(일반),부산,연제구,1987,,,부산 연산도서관,121011,2050121011
172,공공(일반),부산,연제구,2014,,,연제도서관,126143,2060121014
173,공공(일반),부산,동래구,1994,,,부산 명장도서관,121015,2050121012
174,공공(일반),부산,동래구,2016,,,부산 안락누리도서관,126153,2060121020
175,공공(일반),부산,동래구,2015,,,부산 동래읍성도서관,126146,2060121015
176,공공(일반),부산,해운대구,1978,,,부산 반송도서관,121004,2050121005
177,공공(일반),부산,해운대구,2018,,,부산 해운대인문학도서관,126154,2060121021
178,공공(일반),부산,해운대구,2010,,,부산해운대도서관,126024,2050121014
179,공공(일반),부산,수영구,2009,,,부산 수영구도서관 망미분관,121091,2060121011
180,공공(일반),부산,남구,2018,,,분포도서관,126155,2060121022
181,공공(일반),부산,동구,1998,,,부산 동구도서관,121021,2060121003
182,공공(일반),부산,사하구,1984,,,부산 사하도서관,121006,2050121010
183,공공(일반),부산,사하구,2010,,,부산 다대도서관,126023,2060121013
184,공공(일반),부산,중구,1990,,,부산중앙도서관,121012,2050121002
185,공공(일반),부산,동구,1999,,,부산중앙도서관수정분관,121010,2050121003
186,공공(일반),부산,서구,1978,,,부산 구덕도서관,121002,2050121007
187,공공(일반),부산,영도구,1996,,,부산 영도도서관,121014,2060121005
188,공공(일반),부산,남구,1997,,,부산 남구도서관,121019,2060121002
189,공공(일반),부산,해운대구,2007,,,느티나무도서관,141083,2030121002
190,공공(일반),부산,해운대구,1999,,,부산 반여도서관,121022,2060121006
191,공공(일반),부산,해운대구,1982,,,부산해운대도서관 우동분관,121013,2050121006
192,공공(일반),부산,수영구,2002,,,부산수영구도서관,121024,2060121007
193,공공(일반),부산,부산진구,2009,,,부산중앙도서관분관부산영어도서관,126014,2050121013
194,공공(일반),부산,북구,1983,,,부산 구포도서관,121003,2050121009
195,공공(일반),부산,북구,2011,,,맨발동무도서관,126031,2030121003
196,공공(일반),부산,북구,2010,,,부산 화명도서관,126025,2060121012
197,공공(일반),부산,사상구,2003,,,부산 사상도서관,121025,2060121010
198,공공(일반),부산,기장군,2003,,,부산 기장도서관,121026,2060121009
199,공공(일반),부산,기장군,2015,,부산광역시 기장디지털도서관,부산 기장도서관,121026,2060121017
